Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
U1gRkc8d,05/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Central Africa,Chad,1.73,3.0,5.0,2.15,1.67,1.82,1.9
bLi3UktJ,05/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Namibia,Liberia,1.95,3.0,3.6,3.1,1.36,2.63,1.44
I9fLc3zN,05/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Sierra Leone,Djibouti,1.2,4.75,15.0,1.8,2.0,2.63,1.44
vLnpJA20,05/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Togo,South Sudan,1.44,3.4,7.5,2.2,1.65,2.25,1.57
QRuogZIJ,05/06/2024,16:00,AFRICA - WORLD CHAMPIONSHIP,Tunisia,Equatorial Guinea,1.36,4.2,7.0,2.08,1.73,2.5,1.5
nPd2VltF,05/06/2024,16:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Antigua and Barbuda,Bermuda,1.5,3.6,6.0,1.5,2.5,1.5,2.27
KG5ffVEp,05/06/2024,18:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Suriname,Saint Vincent and the Grenadines,1.33,4.5,7.0,1.6,2.3,1.78,1.82
YFBJf59Q,05/06/2024,20:30,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Curacao,Barbados,1.03,17.0,41.0,1.14,5.5,2.63,1.44
EaGqrSPK,05/06/2024,20:30,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Trinidad & Tobago,Grenada,1.13,9.0,19.0,1.36,3.1,2.2,1.62
KhN73Zib,05/06/2024,23:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Guatemala,Dominica,1.08,11.0,23.0,1.44,2.7,3.0,1.36
rkNO3rns,05/06/2024,23:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Nicaragua,Montserrat,1.08,11.0,23.0,1.48,2.6,3.25,1.33
hhQXRe3K,05/06/2024,21:15,ARGENTINA - COPA ARGENTINA,Arsenal Sarandi,Velez Sarsfield,6.1,3.55,1.6,2.42,1.55,2.37,1.52
CORKqOfB,05/06/2024,06:30,AUSTRALIA - NSW LEAGUE ONE,Bulls Academy,Blacktown Spartans,1.3,5.2,6.6,1.29,3.3,1.57,2.34
29Yixtmo,05/06/2024,06:30,AUSTRALIA - NSW LEAGUE ONE,SD Raiders,Nepean,1.62,3.9,4.2,1.53,2.2,1.49,2.45
GAXH8mCI,05/06/2024,19:00,BRAZIL - SERIE A,Juventude,Atletico GO,2.0,3.3,3.9,2.3,1.6,2.05,1.7
ETkFXZqe,05/06/2024,20:00,BRAZIL - SERIE A,Cuiaba,Vitoria,2.1,3.2,3.8,2.4,1.53,2.05,1.7
Ov3m4Gr2,05/06/2024,21:30,BRAZIL - COPA DO NORDESTE,Fortaleza,CRB,1.48,3.9,5.75,2.0,1.8,2.1,1.65
nuN6N8HE,05/06/2024,13:00,FINLAND - YKKONEN,Vaajakoski,JJK Jyvaskyla,4.33,4.33,1.53,1.48,2.6,1.57,2.25
GhzcHyGt,05/06/2024,16:15,ICELAND - DIVISION 1,Keflavik,Leiknir,1.7,4.25,3.8,1.36,2.67,1.42,2.47
dORPFgBM,05/06/2024,16:00,ITALY - SERIE C,L.R. Vicenza,Carrarese,2.07,3.1,3.65,2.32,1.55,2.02,1.72
W2sETI0r,05/06/2024,12:00,NORWAY - OBOS-LIGAEN,Egersund,Asane,1.62,4.33,4.33,1.4,2.88,1.44,2.63
OIXrczim,05/06/2024,16:30,PARAGUAY - PRIMERA DIVISION,Sp. Luqueno,Sportivo Trinidense,1.91,3.5,3.6,1.93,1.88,1.8,1.91
dWVjeELa,05/06/2024,19:00,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,Cerro Porteno,5.5,4.0,1.53,1.67,2.15,1.73,2.0
GYohghjC,05/06/2024,19:00,PARAGUAY - PRIMERA DIVISION,Olimpia Asuncion,Libertad Asuncion,3.5,3.0,2.1,1.75,2.05,1.57,2.25
YeFsMzdk,05/06/2024,11:30,ROMANIA - LIGA 3,CS Din. Bucuresti,Afumati,2.15,3.6,2.85,1.65,2.0,1.57,2.12
tCFyrII8,05/06/2024,11:30,ROMANIA - LIGA 3,FC Bihor,Ghiroda & Giarmata Vii,1.45,4.25,5.9,1.52,2.2,1.65,1.98
2knXWiA7,05/06/2024,11:30,ROMANIA - LIGA 3,Metalul Buzau,CSM Focsani,1.7,3.8,4.25,1.6,2.05,1.62,2.05
tbz3TI3F,05/06/2024,11:30,ROMANIA - LIGA 3,Ramnicu Valcea,Campulung,2.05,3.45,3.25,1.78,1.93,1.62,2.02
Y9fGzzBr,05/06/2024,11:30,ROMANIA - LIGA 3,Unirea Ungheni,Gloria 2018 Bistrita,2.32,3.55,2.65,1.7,1.93,1.6,2.07
GEsfED1l,05/06/2024,10:00,SOUTH AFRICA - PREMIER LEAGUE,Richards Bay,Pretoria U.,1.7,3.25,5.5,2.5,1.47,2.35,1.53
SpuG1p7R,05/06/2024,11:20,UNITED ARAB EMIRATES - UAE LEAGUE,Emirates Club,Al Ain,3.4,4.55,1.78,1.26,3.5,1.31,3.15
vgEES8Nt,05/06/2024,22:00,USA - USL CHAMPIONSHIP,San Antonio,El Paso,1.6,3.9,4.6,1.75,2.0,1.78,1.93
lzUHO3jC,05/06/2024,13:00,WORLD - FRIENDLY INTERNATIONAL,San Marino,Slovakia,34.0,19.0,1.03,1.29,3.6,4.33,1.2
CtazTf8q,05/06/2024,14:00,WORLD - FRIENDLY INTERNATIONAL,Denmark,Sweden,1.85,3.4,4.1,1.85,2.0,1.67,2.1
EHVd3ojo,05/06/2024,14:00,WORLD - FRIENDLY INTERNATIONAL,Norway,Kosovo,1.42,4.0,7.5,1.93,1.93,2.1,1.67
2H4AQxqh,05/06/2024,15:30,WORLD - FRIENDLY INTERNATIONAL,Belgium,Montenegro,1.25,5.75,13.0,1.57,2.35,2.1,1.67
EuOClNFF,05/06/2024,16:00,WORLD - FRIENDLY INTERNATIONAL,France,Luxembourg,1.04,15.0,41.0,1.25,4.0,2.75,1.4
GxWIyNUa,05/06/2024,16:30,WORLD - FRIENDLY INTERNATIONAL,Spain,Andorra,1.02,26.0,67.0,1.17,5.0,5.0,1.17
p8nP8vVh,05/06/2024,22:00,WORLD - FRIENDLY INTERNATIONAL,Mexico,Uruguay,2.8,3.0,2.63,2.15,1.67,1.83,1.83
25W3GfgB,05/06/2024,09:00,WORLD - MAURICE REVELLO TOURNAMENT,Ivory Coast U23,South Korea U21,1.82,3.4,3.84,2.1,1.65,1.95,1.81
nyexySZ1,05/06/2024,12:30,WORLD - MAURICE REVELLO TOURNAMENT,Mexico U23,France U20,2.67,3.45,2.37,1.9,1.8,1.7,1.9
